id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;ten_km_trib_amount;ten_km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id
I. Бассейн р. Оби от впадения р. Алея до устья р. Томи;;;;;;;;;;;
96;Крутиха;Бол. Калманка;(пр);39;22;;1;4;;;121
97;лог Зяблуха ;»;(лв);26;10;;1;2;;;122123
98;Мал. Калманка ;»;»;8;49;535;18;36;;;
99;без названия;Мал. Калманка ;»;19;13;;6;15;;;
100;Моховушка ;без названия № 99;(пр);4;10;;6;11;;;
101;без названия;Мал. Калманка;»;12;16;;4;6;;;
102;протока без названия;Бол. Калманка;»;4;24;;3;2;;;
103;Марушка ;»;(лв);3;32;180;13;26;;;124
104;Железный Исток ;Обь;(пр);3480;17;;4;7;;;
105;без названия;»;(лв);3474;13;;3;6;;;
106;Бураниха ;Обь ;(лв);3466;17;92;13;16;;;125
107;Старица, без названия;»;(пр);3456;18;;6;5;;;
108;Шадриха ;»;(лв);3456;17;144;9;23;;;126
109;протока Заломная ;»;(пр);3448;64;;;;;;
110;Чирик ;протока Заломная ;(пр);45;15;;13;22;;;
111;Петровка;»;»;44;88;1140;7;29;33;6,2;
112;Песьянка;Петровка ;»;60;24;;—;—;;;
113;Поперечная;»;»;16;28;;1;1;;;
;Реки в бассейне р. Петровка, теряющиеся на водосборе;;;;;;3;13;;;
114;Кошкаргариха;протока Заломная ;(пр);7;30;;4;13;;;
115;Мал. Речка;Кошкаргариха ;»;15;14;;1;5;;;
116;Быстрая ;»;(лв);6;11;;1;3;;;
117;Байниха (Сидоровка) ;теряется;—;—;20;;1;1;;;
118;Рассказиха;протока Заломная ;(пр);1;11;;1;1;;;
;Реки в бассейне р. Кошкаргариха, теряющиеся на водосборе;;;;;;2;7;;;
119;протока Бобровская;Обь;(пр);3412;21;;;;;;
120;Бобровка;протока Бобровская ;»;18;95;1030;8;24;48;4.1;127.128
121;Мал. Бобровка;Бобровка;»;78;14;;—;—;;;
122;Налобиха;»;(лв);63;15;;1;2;;;
123;Барнаулка ;Обь;»;3409;207;5720;33;90;170;216;129-132
124;без названия;оз. Парасково;—;—;14;;1;2;;;
125;Мокруша;Барнаулка;(пр);194;11;;—;—;;;
126;Волчиха;»;»;173;11;;1;4;;;
127;Ворониха;»;(лв);146;16;;2;10;;;133
128;Солоновка (Рожня);»;»;119;17;100;1;5;;;
129;Колывань;»;»;79;14;;1;0.5;;;
130;Землянуха;»;»;52;18;;6;12;;;
131;Паньшиха;»;»;40;17;;4;8;;;
132;Штабка;Барнаулка;(лв);27;17;;—;—;;;
133;Власиха;»;»;18;18;;—;—;;;
;;;;;;;52;128;;;
;Реки в бассейне р. Барнаулка, теряющиеся на водосборе;;;;;;1;4;;;
;Малые притоки оз. Песьяное;;;;;;1;1;;;
;Малые притоки оз. Верх. Займище;;;;;;1;5;;;
;Малые притоки оз. Анисимово;;;;;;;;;;
134;Тала;Обь;(пр);3408;16;;16;25;;;
135;Лосиха (Бол. Лосиха) ;»;»;3407;150;1520;18;52;41;1,3;134.135
136;Мал. Лосиха;Лосиха (Бол. Лосиха);(пр);91;28;194;2;3;;;
137;Жилиха;»;»;47;59;420;2;2;;;
138;Журавлиха;Жилиха;(лв);45;12;;1;1;;;
139;протока Старая Обь;Обь;(пр);3380;25;;;;;;
140;Чесноковка;протока Старая Обь;»;21;72;377;7;18;7;0,1;136-138
141;Бол. Черемшанка (Черемшанка) ;»;»;13;54;717;17;44;9;0,2;139.14
142;Зудилиха;Бол. Черемшанка;(лв);42;19;;—;—;;;
143;Мал. Черемшанка ;»;»;2;54;281;7;14;;;141.142
144;Повалиха;протока Старая Обь;(пр);3;100;870;15;38;14;0,8;143.144
145;Журавлиха ;Повалиха;»;77;11;;1;9;;;
146;Ефремиха;»;(лв);72;14;;13;14;;;
147;Падун (лог Сурьев) ;»;»;33;25;;3;26;;;
148;Кислуха ;Обь;(пр);3379;10;;5;8;;;
;В бассейне р. Кислуха имеется 6 осушительных канав длиной 6 км;;;;;;;;;;
149;протока Мал. Болдин;Обь;(лв);3371;10;;;;;;
150;протока без названия;протока Мал. Болдин;»;7;11;;3;12;;;
151;Середчиха;Обь;»;3368;18;;7;14;;;
152;Телеутка (Курья);протока Старина (Обь);(пр);3345;21;;1;2;;;
;Малые притоки оз. Телеутское;;;;;;;;;;
153;Касмала;протока Тихая (Обь);(лв);3343;119;2550;4;6;108;10,3;145—147
154;Калманка;Касмала;(лв);102;19;82;3;4;;;
155;Ребриха;»;»;91;21;;1;9;;;
