id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;ten_km_trib_amount;ten_km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id
I. Бассейн р. Оби от впадения р. Алея до устья р. Томи;;;;;;;;;;;
1041;Тагарыш;Ускат;(лв);11;23;;32;35;;;
1042;Салаир;Томь;»;550;12;;11;14;;;
1043;Кушелкова;»;(пр);535;19;;43;42;;;
1044;Бол. Курья (Ниж. Курья, Афанасова);»;»;525;19;;39;37;;;
1045;Кукша;»;(лв);523;11;;24;25;;;
1046;Верх. Терсь;»;(пр);519;95;1030;240;295;;;344—346
1047;Серебряный;Верх. Терсь;(лв);82;10;;18;28;;;
1048;Шат;»;(пр);75;17;;47;62;;;
1049;Таловка;»;»;57;15;;26;28;;;
1050;Соловей;Таловка;(лв);6;10;;17;26;;;
1051;Верх. Карангыс;Верх. Терсь;(пр);43;14;;38;50;;;
1052;Ниж. Карангыс;»;»;39;10;;24;26;;;
1053;Мутная;»;(лв);29;10;;57;50;;;
1054;Средний Тустуер;»;»;12;10;;26;26;;;
1055;Верхняя Маганакова;»;(пр);11;43;;115;165;;;
1056;Средняя Терсь;Томь;(пр);514;114;1920;252;407;;;347.348
1057;Воскресенка;Средняя Терсь;»;96;12;;25;43;;;
1058;Мирная;»;(лв);85;10;;8;12;;;
1059;Ивановка;»;(пр);83;31;;54;74;;;
1060;Филипповка;Ивановка;(лв);16;10;;16;27;;;
1061;Красная Речка;Средняя Терсь;(пр);77;19;;37;55;;;
1062;Крестовка № 1;»;(лв);70;19;;25;37;;;
1063;Крестовка № 2;»;(пр);70;21;;25;42;;;
1064;Изас;»;(лв);51;20;;54;97;;;
1065;Березовка (Мал. Изас);Изас;(пр);1;12;;10;18;;;
1066;Кедровка;Средняя Терсь;»;47;10;;23;25;;;
1067;Бол. Камзас;»;»;43;13;;28;35;;;
1068;Мал. Камзас;»;»;43;11;;32;40;;;
1069;Першуткина;»;»;30;11;;16;16;;;
1070;Гореловка;»;»;28;13;;50;45;;;
1071;Средняя Маганакова;Средняя Терсь;(лв);22;42;;122;150;;;
1072;Кривая;Средняя Маганакова;(пр);38;20;;18;24;;;
1073;Березовая;»;(лв);28;12;;28;32;;;
1074;Правая Рассоха (Рассоха);»;(пр);21;17;;42;70;;;
1075;Афониха;Средняя Терсь;»;20;12;;23;23;;;
1076;Мутный;»;»;18;12;;25;35;;;
1077;Монашка;»;»;7;14;;24;14;;;
1078;Черновой Нарык;Томь;»;504;106;623;214;297;;;
1079;Еланный Нарык;Черновой Нарык;»;55;41;;70;75;;;
1080;Березовая;»;(лв);27;17;;36;50;;;
1081;Осиновка;»;»;13;14;;23;20;;;
1082;Бугровка;»;»;13;12;;15;15;;;
1083;Большая Речка;»;»;4;14;;24;25;;;
1084;Кедровка;Томь;(лв);497;10;;11;17;;;
1085;Убик;»;»;485;30;;48;80;;;
1086;Терсюк (Сред Терсюк);»;(пр);483;19;;90;99;;;
1087;Правый Терсюк;Терсюк;»;8;12;;36;47;;;
1088;Верхний Камзас;Томь;(лв);478;15;;41;67;;;
1089;Колгута;Верхний Камзас;»;8;13;;20;20;;;
1090;Нижний Камзас;Томь;»;476;20;;35;45;;;
1091;Нижняя Терсь;»;(пр);474;110;1210;250;415;;;349.35
1092;Прав. Терсь;Нижняя Терсь;»;98;14;;8;15;;;
1093;Северная (Бол. Северная);»;»;75;11;;15;19;;;
1094;Мал. Северная;Северная;(лв);2;12;;11;18;;;
1095;Акчелбак;Нижняя Терсь;»;74;14;;19;40;;;
1096;Громовая;»;»;63;12;;24;40;;;
1097;Широкая (Бол. Заячья);»;»;49;14;;46;48;;;
1098;Мещанка;»;»;42;12;;23;28;;;
1099;Татарка;»;»;39;14;;58;68;;;
1100;Бол. Пезас;»;(пр);34;20;;44;63;;;
1101;Мал. Пезас;»;»;31;20;;56;65;;;
1102;Талзас;»;»;15;18;;71;93;;;
1103;Лягушья;Томь;(лв);465;16;;30;33;;;
1104;Согровая;»;(пр);465;12;;7;10;;;
1105;Тукташ;»;»;462;12;;53;68;;;
1106;Арзас;»;(лв);457;12;;28;35;;;
1107;Пегас (Томский);»;(пр);452;16;;61;85;;;
1108;Апанаиха;»;»;449;11;;15;11;;;
1109;Бунгарап;»;(лв);441;50;329;117;226;;;
1110;Турала;»;»;436;13;;21;32;;;
1111;Тыхта;»;»;435;13;;4;6;;;
1112;Лачиновская Курья;Томь;(лв);413;13;;11;28;;;
1113;Ильмень;»;(пр);408;23;;44;70;;;351
1114;Пиканиха (Курья Узкая);»;»;400;12;;9;11;;;
1115;Тайдон (Тойдон);»;»;390;110;2160;361;445;;;352.353
1116;Мал. Тайдон;Тайдон;(лв);101;12;;14;21;;;
1117;Староандреевка ;»;(пр);93;12;;34;29;;;
1118;Большой Тайдон;»;(лв);87;22;;45;60;;;
1119;Алзас (Прямой Алзас);»;(лв);71;24;;104;121;;;
1120;Полуденный Алзас;Алзас;(пр);13;15;;43;60;;;
1121;Илька;Тайдон;»;62;11;;13;12;;;
1122;Баянзас (Бол. Баянзас);»;(лв);62;43;;109;235;;;
1123;без названия;Баянзас;(пр);10;10;;28;35;;;
1124;Килька;Тайдон;»;57;19;;60;65;;;
1125;Саянзас;»;(лв);51;55;407;110;160;;;354
1126;Россыпная;Саянзас;»;32;10;;19;20;;;
1127;Талановка;»;»;26;11;;23;21;;;
1128;Бол. Таловка;Талановка;(пр);5;13;;23;26;;;
1129;Кедровка;Саянзас;(лв);6;13;;56;80;;;
1130;без названия;»;»;1;12;;14;18;;;
1131;Медвежка;Тайдон;»;47;11;;6;10;;;
1132;Экербак;»;(пр);38;23;;60;80;;;
1133;Мутная;Экербак;(лв);5;10;;25;35;;;
1134;Пегас (Тайденский);Тайдон;»;37;18;;24;45;;;
1135;Талзас;»;»;21;17;;41;47;;;
1136;Улуманда;Тайдон;(пр);18;40;;182;239;;;
1137;Кучуманда;»;»;13;29;;65;100;;;
1138;Шинда;Кучуманда;(лв);10;10;;11;11;;;
1139;Бол. Осипова (Черная Осипова);Томь;(пр);386;39;;33;72;;;
1140;Поперечная;Бол. Осипова;(пр);32;16;;10;28;;;
1141;Иркутка;»;(лв);31;13;;26;41;;;
1142;Осипова (Белая);»;(пр);21;27;;95;135;;;
1143;Тынгыза;»;»;18;11;;22;19;;;
1144;Алзас;»;(лв);11;10;;17;22;;;
1145;Акел;»;»;7;15;;50;75;;;
1146;Крутая;»;(пр);4;32;;97;100;;;
1147;Таловка;Крутая;(лв);14;10;;18;19;;;
1148;Мал. Осипова;Бол. Осипова;»;1;10;;20;29;;;
1149;Кедровка;Томь;»;375;14;;28;49;;;
1150;Мунгат;»;»;367;56;485;94;222;;;
1151;Поперечная;Мунгат;»;19;13;;10;15;;;
1152;Бол. Речка;»;(пр);16;10;;14;18;;;
1153;Быструха;Томь;(лв);366;16;;3;5;;;
1154;без названия;Быструха;»;6;11;;5;10;;;
1155;Каменка;Томь;(пр);355;11;;16;16;;;
1156;Бол. Змеинка (Змеинка);»;»;354;17;;59;60;;;
1157;Банновка;»;(лв);349;22;;8;26;;;
1158;Бол. Грязная;Банновка;(пр);1;18;;4;11;;;
1159;Заломная;Томь;»;347;52;319;110;132;;;
1160;Мягкая;Заломная;»;31;10;;38;45;;;
1161;Каменушка;»;(лв);28;11;;20;22;;;
1162;Бунашкина;»;»;18;12;;66;87;;;
1163;Якимовка;»;(пр);13;10;;12;20;;;
1164;Грязная (Бол. Грязная);Томь;»;343;35;;62;100;;;
1165;Средняя Грязная;Грязная;(лв);22;13;;12;15;;;
1166;Мал. Грязная;»;»;12;16;;6;9;;;
1167;Порывайка;Томь;(пр);339;10;;14;18;;;
1168;Березовка;»;(лв);333;22;;13;25;;;
1169;Уньга;Томь;(лв);323;25;1810;11;27;;;
1170;Северная Уньга ;Уньга;»;25;72;755;99;210;;;355
1171;Таловка;Северная Уньга;»;49;11;;12;24;;;
1172;Маручак;»;»;19;34;;54;95;;;
1173;Смотрик;»;»;8;16;;9;8;;;
1174;без названия;»;(пр);1;10;;5;5;;;
1175;Южная Уньга ;Уньга;»;25;55;978;31;81;;;356357
1176;Каменка;Южная Уньга;»;45;10;;5;14;;;
1177;Еловка;»;(лв);42;10;;3;6;;;
1178;Маловка;»;»;36;16;;14;27;;;
1179;Перескокна;»;»;35;15;;5;12;;;
1180;Митиха;»;(пр);32;15;;5;8;;;
1181;Набочиха;»;»;28;17;;2;3;;;
1182;без названия;Набочиха;»;7;12;;1;2;;;
1184;Ушатиха;Южная Уньга;(пр);20;12;;5;14;;;
1183;Чесноковка;Южная Уньга;(лв);24;37;351;25;60;;;358359
1185;Петрушки, лог;Чесноковка;»;24;12;;5;6;;;
1186;Черноушка;»;»;17;13;;8;16;;;
1187;Петрушиха;»;»;9;15;;11;43;;;
1188;Шумиха;Томь;(лв);312;16;;13;30;;;
1189;Бол. Ляпка;»;(пр);307;21;;34;54;;;
1190;Мал. Ляпка;Бол. Ляпка;(лв);2;12;;14;19;;;
1191;Березовка;Томь;»;298;12;;9;18;;;
1191а;Голомыска;»;»;290;3;;—;—;;;359 а
1192;Бол. Промышленная (Долгополиха, Бол. Промышленка);»;(пр);285;84;568;54;105;;;360
1193;Буслаиха;Бол.Промышленная;(лв);70;10;;6;7;;;
1194;Сев. Ключевая;»;»;67;11;;26;43;;;
1195;Осиновка;»;(пр);57;17;;17;22;;;
1196;Садская;»;(лв);54;11;;12;18;;;
1197;Шурчак;»;»;51;10;;11;25;;;
1198;Мал. Промышленная;Бол. Промышленная ;(лв);31;27;;62;104;;;
1199;Люскус;Томь;(пр);281;11;;9;14;;;
1200;Бол. Камышная;»;(лв);275;31;;14;26;;;
1201;Крутая ;Бол. Камышная;»;31;12;;27;36;;;
1202;Топкая ;»;(пр);31;11;;9;21;;;
1203;Мазуровка;»;»;25;14;;21;36;;;
1204;Мал. Камышная;»;»;14;13;;14;24;;;
1205;Куро-Искитим;»;»;5;13;;15;27;;;
1206;Глухая ;Куро-Искитим;»;13;11;;9;12;;;
1207;Прямая ;»;(лв);13;10;;21;48;;;
1208;Улыкаева;Томь;(пр);266;12;;1;1;;;
1209;Евсеева Чесноковка;»;»;232;15;;6;12;;;
1210;Бол. Мозжуха;»;(лв);261;17;;27;50;;;
1211;Чесноковка;»;(пр);255;25;;23;40;;;
1212;Кедровка;Чесноковка;»;10;14;;20;30;;;
1213;Балахонка;Томь;»;247;23;;40;70;;;
1214;Глухая;Балахонка;»;14;15;;20;29;;;
1215;Барановка ;»;»;10;15;;31;50;;;
1216;Мал. Подикова;Томь;»;243;19;;21;27;;;
1217;Бол. Подикова (Подикова);»;»;242;39;;33;66;;;
1218;Таковая;Бол. Подикова;(лв);28;10;;5;8;;;
1219;Хмелевка;»;»;8;11;;3;4;;;
1220;Глубокая;Томь;»;240;27;;27;55;;;
1221;Стрелина;»;»;234;69;1160;72;160;;;
1222;Бол. Курляк;Стрелина;(пр);46;13;;8;24;;;
1223;Бол. Сосновка;»;»;38;12;;9;14;;;
1224;Каменка;»;(лв);34;42;;20;55;;;
1225;Мостовая;Каменка;»;16;10;;4;4;;;
1226;Стрельна;Стрелина;(лв);24;39;;24;50;;;
1227;Бол. Вагина;Стрельна;(пр);15;10;;2;2;;;
1228;Хорошка;»;(лв);13;10;;—;—;;;
1229;Бол. Ямная (Ямная);Стрелина;»;20;16;;5;12;;;
1230;Громотуха;Томь;»;227;12;;11;15;;;
1231;Писаная;»;(пр);225;36;;53;115;;;
1232;Еловка;Писаная;»;7;21;;16;24;;;
1233;Пача;Томь;»;218;32;;62;94;;;
1234;Бол. Яшка (Яшкин);Пача;(лв);17;11;;14;22;;;
1235;Власовка;»;(пр);10;13;;4;5;;;
1236;Глухая;»;(лв);3;10;;7;14;;;
1237;Сенокоска;Томь;»;205;13;;3;11;;;
1238;Кунгурка;»;»;201;11;;9;14;;;
1239;Тальменка;»;(пр);196;12;;12;17;;;
1240;Никольская;»;»;186;10;;4;7;;;
1241;Искитим;»;(лв);180;55;560;25;67;;;
1242;Скакальная;Искитим;(пр);36;11;;8;12;;;
1243;Прямая;»;»;31;18;;6;21;;;
1244;Тальменка;Томь;»;175;15;;16;43;;;
1245;Иткара;»;»;149;14;;22;44;;;
1246;Лебяжья;»;(лв);143;106;1510;14;40;;;361.362
1247;Терь № 1;Лебяжья;(пр);91;20;;11;21;;;
1248;Терь № 2;»;»;90;16;;10;19;;;
1249;Ача;»;»;64;47;;14;40;;;
1250;Топкая;Ача;(лв);28;10;;5;5;;;
1251;Бол. Речка;»;»;19;15;;19;19;;;
1252;Сосновка;»;(пр);11;31;;4;8;;;
1253;Кандереп;Лебяжья;(лв);36;24;;8;15;;;
1254;Чубур;Томь;»;139;39;;8;16;;;
1255;Бол. Северная;Чубур;(лв);35;11;;5;14;;;
1256;Старина;»;»;15;13;;3;2;;;
1257;Канок;»;»;0.5;17;;4;8;;;
1258;Сосновка;Томь;(пр);127;94;902;78;170;;;
1259;Васькина (Тиновка);Сосновка;»;65;15;;28;46;;;
1230;Носкова (Лесная);Васькина;(лв);5;12;;25;23;;;
1231;Кузель;Сосновка;(пр);48;24;;22;32;;;
1262;Северная;»;»;43;31;;44;64;;;
1263;Каменка;Северная;(лв);10;11;;6;8;;;
1264;Крутая;»;(пр);6;15;;9;12;;;
1265;Ельцовка;Сосновка;»;29;14;;34;70;;;
1266;Мельничная;»;»;10;10;;4;8;;;
1267;Шумиха;Томь;»;126;14;;12;22;;;
1268;Бол. Черная;»;(лв);119;65;519;36;79;;;
1269;Мал. Северная;Бол. Черная;»;42;16;;3;11;;;
1270;Зырянка;»;»;32;12;;6;6;;;
1271;Мал. Черная;»;(пр);0.1;35;;5;5;;;
1272;Кузьминка;Томь;(лв);115;20;;3;1;;;
1273;Тугояковка;»;(пр);106;52;275;116;185;;;
1274;Тарганак;Тугояковка;»;15;10;;19;20;;;
1275;Якунина;Томь;»;102;10;;30;35;;;
1276;Ум (Смакотинка);»;(лв);90;41;;8;22;;;
1277;Черная;»;»;78;51;283;—;—;;;
1278;Басандайка;»;(пр);78;57;409;87;168;;;363364
1279;Березовая;Басандайка;(лв);47;13;;14;25;;;
1280;Ломовая;»;»;38;10;;11;25;;;
1281;Такова;»;»;29;10;;26;27;;;
1282;Нефедовка;»;»;16;10;;3;1;;;
1283;Ушайка;Томь;(пр);68;78;744;49;118;;;365366
1284;Березовая;Ушайка;(пр);63;10;;9;18;;;
1285;без названия;»;»;60;10;;2;6;;;
1286;Бобровка;»;(лв);41;11;;6;16;;;
1287;Мал. Ушайка;»;(пр);23;52;336;57;133;;;367
1288;Сухая;Мал. Ушайка;»;18;12;;4;10;;;
1289;Мал. Киргизка;Томь;»;61;16;;7;11;;;
1290;Бол. Киргизка (Киргизка);»;»;58;85;848;57;120;;;
1291;Каменка;Бол. Киргизка;(лв);57;26;;27;57;;;
1292;Топкая;»;»;41;12;;9;15;;;
1293;Мутная;»;(пр);40;28;;20;52;;;
1294;Сарла;Мутная;»;17;10;;6;15;;;
1295;Черная;Бол. Киргизка;»;13;22;;5;15;;;
1296;протока Бурундук  (Кисловка);Томь;(лв);51;49;;4;10;;;
1297;Еловка ;протока Бурундук (Кисловка);»;49;31;;—;—;;;
1298;Жуковка ;»;(пр);49;31;;1;1;;;
1299;Порос;Томь;(лв);45;57;544;6;15;;;
1300;Уптала;Порос;»;34;13;;—;—;;;
1301;Куртук;»;»;2;15;;2;12;;;
1302;Самуська;Томь (Кижировская протока);пр;30;72;505;13;22;;;
1303;Сарла;Самуська;(лв);52;13;;8;22;;;
1304;Таловка;»;»;44;11;;6;12;;;
1305;Кантес;»;(пр);42;13;;5;8;;;
1306;Мокрый Кантес;Кантес;(лв);4;10;;15;20;;;
1307;Песочка;Самуська;»;16;13;;—;—;;;
1308;Камышка;Томь (Кижировская протока);(пр);27;41;;36;63;;;
1309;Мостовка;»;»;24;21;;2;4;;;
1310;Черная;Томь;(пр);22;39;;19;20;;;
1311;протока Иштанская;»;(лв);14;12;;—;—;;;
1312;Шишкобойка;Томь (Лабазная протока);»;6;19;;2;2;;;
III. Бассейн р. Оби, между устьями р. р. Томи и Чулыма;;;;;;;;;;;
1313;Заборная;Обь;(пр);2654;20;;2;3;;;
1314;Мал. Чангара ;Заборная;»;22;33;;1;2;;;
1315;Чангара (Бол. Чангара);»;»;3;22;;—;—;;;
1316;Средняя Чангара;Чангара;(лв);10;11;;—;—;;;
1317;Карнауховская протока;Обь;»;2652;10;;—;—;;;
1318;Лобачева (Елбагач) ;Карнауховская протока;(лв);5;60;913;8;31;;;
1319;Карлыгач;Лобачева (Елбагач);(лв);41;37;;4;15;;;
1320;Аверичева;Лобачева;(пр);24;22;;1;2;;;
;Реки в бассейне р.Лобачева, теряющиеся на водосборе;;;;;;23;65;;;
1321;Кайтес;оз. Елбаган;—;—;19;;2;5;;;
1322;Андрева;Обь;(пр);2628;44;;8;9;;;
1323;без названия;Андрева;(лв);35;10;;2;2;;;
1324;Рыбная Речка;Обь;(пр);2625;16;;3;3;;;
1325;протока без названия;»;(лв);2606;12;;—;—;;;
1326;Шегарка;»;»;2605;382;12 000;184;383;759;23.6;368-370
1327;Каурушка;Шегарка;»;356;10;;3;2;;;
1328;Камышенка;»;(пр);342;11;;5;6;;;
1329;Черемшанка;»;»;332;12;;17;19;;;
1330;Атузенок;»;»;308;13;;10;9;;;
1331;Колтура;»;(лв);291;13;4800;8;11;;;371-374
1332;Бакса;»;(пр);213;206;;88;181;;;
1333;без названия, канава;Бакса;»;190;16;;4;9;;;
1334;Мальчиха;»;»;160;10;;1;3;;;
1335;Изрева (руч. Издрева);»;»;112;17;;5;8;;;
1336;Тоя;»;»;100;114;1830;11;27;;;375-377
1337;Бобровка;Тоя;(лв);15;11;;1;1;;;
1338;Елгайчик;Бакса;(пр);42;17;;4;5;;;
1339;Поперечная;Елгайчик;»;4;12;;11;16;;;
1340;Муллова;Шегарка;»;207;28;;11;34;;;
1341;Ромаска;»;(лв);147;14;;4;8;;;
1342;Мура;»;»;119;10;;—;—;;;
1343;Мура;»;»;112;22;;1;2;;;
1344;без названия;Мура;»;15;14;;8;13;;;
1345;Муренок;Шегарка;»;92;24;;11;21;;;
1346;Мельничная;»;»;79;16;;5;10;;;
1347;Мостовка;»;(пр);74;10;;2;5;;;
1348;Юкара;»;(лв);58;22;;3;10;;;
1349;Южара;Юкара;»;3;15;;3;10;;;
1350;без названия;Шегарка;(пр);54;10;;—;—;;;
1351;Кандарла;»;(лв);41;15;;11;18;;;
1352;Степановка;»;»;31;10;;2;4;;;
1353;Черлава;»;»;19;24;;9;16;;;
1354;Мингер;»;(пр);14;51;679;1;2;;;
1355;Инга;Мингер;(лв);40;18;;6;9;;;
1356;без названия;»;(пр);7;33;;13;25;;;
1357;Падун;болото прилегающее к р. Мингер;—;—;13;;—;—;;;
1358;без названия;Падун;(лв);3;11;;—;—;;;
;Реки в бассейне р. Мингер, теряющиеся на водосборе;;;;;;3;17;;;
;Реки в бассейне р. Шегарка, теряющиеся на водосборе;;;;;;29;54;;;
1359;Бровка;Обь;(лв);2589;42;;48;124;;;
1360;руч. Люберцев;Бровка;»;22;10;;6;9;;;
1361;Поперечная;»;»;10;12;;—;—;;;
1362;Горевка;Поперечная;»;3;12;;3;4;;;
1363;Большой Яраур;Бровка;»;2;10;;—;—;;;
1364;протока Старая Обь;Обь;(пр);2588;23;;—;—;;;
1365;протока Монатка;оз. Монатка;—;—;28;;23;44;;;
1366;Черная;протока Монатка;(пр);10;28;;1;6;;;
1367;Таптан;Обь;(лв);2582;16;;11;29;;;
1368;протока Тибишка;»;(пр);2577;11;;—;—;;;
1369;Черлек;оз. Балчик;—;—;13;;1;2;;;
1370;Верх. Анма (Бол. Соровская);Обь;(пр);2547;123;640;7;20;;;
1371;Кым;Верх. Анма (Бол. Соровская);лв);82;20;;—;—;;;
1372;Сор;»;(пр);73;11;;—;—;;;
1373;Тадамга;Сор;(лв);3;38;;1;2;;;
1374;Анга;Верх. Анма;(пр);67;12;;2;2;;;
1375;Оськина (Кулегениха);»;(лв);59;33;;7;20;;;
1376;руч. Партомогай;Оськина;(пр);26;10;;—;—;;;
1377;Узконам;»;»;23;13;;3;8;;;
1378;Изепце ;Верх. Анма;(лв);53;22;;5;19;;;
1379;Кудрина ;»;(пр);17;41;;2;10;;;
1380;Конная;»;»;10;39;;6;15;;;
;Реки в бассейне р. Верх. Анма, теряющиеся на водосборе;;;;;;16;36;4893;456;378-410
1381;без названия;Обь;»;2543;16;;—;—;;;411-416
IV. Бассейн р. Чулыма;;;;;;;;;;;
1382;Чулым ;Обь;(пр);2542;1799;134000;363;839;;;
1383;Белый Июс (Пихтерек) ;Чулым;»;1799;224;5370;76;165;;;
1384;Туралыг;Белый Июс;»;192;25;;10;34;;;
1385;Тюртек;»;(лв);182;27;;22;66;;;
1386;Железный;Тюртек;»;17;12;;9;26;;;
1387;Андат;Белый Июс;»;179;13;;2;4;;;
1388;Баранджак;»;»;172;11;;—;—;;;
1389;Караташ (Кара-Тас) ;»;(пр);172;62;1650;24;76;;;
1390;руч. Хазанныг ;Караташ;»;43;16;;9;23;;;
1391;Кашпар (руч. Кашпар);»;»;31;20;;17;30;;;
1392;Сеттик;Кашпар;(лв);4;10;;1;0.3;;;
1393;Улень (Бол. Улень);Караташ;(пр);14;58;1100;4;19;;;417
1394;Чешбаш;Улень (Бол. Улень);(лв);45;10;;1;2;;;
1395;Коскобальцы;»;»;34;15;;1;5;;;
1396;Мал. Улень;Улень;(пр);28;19;;6;20;;;
1397;Куяс ;»;(лв);23;14;;4;7;;;
1398;Тарбан;»;(пр);16;13;;4;7;;;418
1399;Каро;»;(лв);11;24;;11;39;;;
1400;Иней;»;»;9;32;;26;59;;;
1401;Сарлыхмайнах;Иней;(пр);20;11;;7;18;;;
1402;Ипчул;Белый Июс;(лв);172;11;;3;2;;;
1403;Тунгужуль;»;(пр);154;23;;4;13;;;
1404;Айдарак;Тунгужуль;(лв);11;10;;3;15;;;
1405;Карадыге;»;»;3;14;;2;6;;;
1406;Позрыгат;Карадыге;»;6;12;;2;6;;;
1407;Шебалык;Белый Июс;(пр);143;17;;1;3;;;
1408;Изык-Чул (Изыкчул);»;(лв);138;19;;20;28;;;
1409;Сарык-Чул;»;»;138;11;;7;12;;;
1410;Аспад;»;(пр);134;13;;3;10;;;
1411;Бол. Сыя (Правая Сыя);»;(лв);131;29;;24;35;;;
1412;Лев. Сыя;Бол. Сыя;»;18;12;;5;4;;;
1413;без названия;»;»;12;13;;12;21;;;
1414;Мал. Сыя;Белый Июс;»;125;12;;2;3;;;
1415;Кульбюрстюг;»;(пр);100;14;;—;—;;;
1416;Тюрим;»;»;88;24;;—;—;;;
1417;Колоджул ;теряется;—;—;17;;4;10;;;
1418;без названия;оз. Фыркал;—;—;10;;1;1;;;418 а
1419;без названия;Белый Июс;(лв);69;16;;—;—;;;
1420;Черная (Тарча) ;»;»;46;62;558;7;14;;;
1421;без названия;Черная ;(лв);52;26;;13;27;;;
1422;Кизилка;Белый Июс;»;17;18;;—;—;;;
;Малые притоки оз. Фыркал;;;;;;4;14;;;
1423;Черный Июс ;Чулым;»;1799;178;4290;110;222;;;419-421
1424;без названия;Черный Июс;(пр);155;10;;13;10;;;
1425;Избасс;»;(лв);140;31;;33;47;;;
1426;Бобровая;Избасс;»;5;16;;19;19;;;
1427;Безымянная;»;(пр);2;16;;16;22;;;
1428;Успенка;»;»;1;20;;16;17;;;
1429;Безлесная;Успенка;(лв);9;13;;8;8;;;
1430;Инжул;Черный Июс;»;128;21;;62;100;;;
1431;без названия;Инжул;»;5;12;;13;12;;;
1432;без названия;Черный Июс;(пр);128;13;;13;17;;;
1433;Мал. Черный Июс;»;;120;26;;39;62;;;
1434;Мал. Инчул (Рождественский) ;»;;115;15;;4;13;;;
1435;Систых-Чул (Систыхчул,Черемуховая);»;(лв);104;29;;7;16;;;
1436;Осту-Чул (Остучул);Систых-Чул;»;12;10;;1;2;;;
1437;Бли-Инжуль (Блиинжул);»;»;7;13;;2;3;;;
1438;Таранжуль;Черный Июс;»;93;26;;18;25;;;
1439;Кербежик;Таранжуль;(пр);8;14;;10;16;;;
1440;Ламыш;»;и;1;18;;9;13;;;
1441;протока без названия;Черный Июс;(пр);84;11;;—;—;;;
1442;Сарала (Лев. Сарала);»;(лв);52;65;1310;11;45;;;
1443;Прав. Сарала ;Сарала;(пр);44;21;;32;48;;;
1444;Полуденка;Прав. Сарала;»;9;10;;12;17;;;
1445;без названия;Сарала;;43;11;;8;10;;;
1446;Мал. Карасук;»;(лв);30;13;;14;18;;;
1447;без названия;»;»;28;18;;12;16;;;
1448;Лапинский ;без названия №1447;(пр);5;11;;6;6;;;
1449;Богоюл (Лев. Богоюл);Сарала;»;24;15;;16;28;;;
1450;Сухая Сабула;»;»;17;15;;10;12;;;
1451;Юзик (Вершина Юзика);»;(лв);13;43;;115;154;;;
1452;Тяжин;Юзик;»;10;29;;50;81;;;
1453;Сабула;Сарала;»;2;22;;10;18;;;
1454;Печище (Камн. Печище) ;Черный Июс;;16;59;580;33;80;;;
1455;Сред. Печище (Печище);Печище № 1454;;32;20;;23;38;;;
1456;Печище;Печище № 1454;;30;22;;15;28;;;
1457;без названия;Печище № 1454;(пр);11;10;;2;2;;;
;Реки в бассейне р. Черный Июс, теряющиеся на водосборе;;;;;;3;12;;;
1458;Шалаболка;Чулым;»;1789;17;;1;4;;;
1459;протока Пашпанак (Мостовая);»;(лв);1751;26;;3;3;;;
1460;Ботиха ;протока Пашпанак;»;12;14;;2;1;;;
1461;Танга;Чулым;(пр);1731;42;;5;20;;;
1462;Кузурба (Кошуриха);»;(лв);1718;65;441;25;59;;;
1463;Лопатиха;Кузурба (Кошуриха);(пр);49;11;;4;3;;;
1464;Талый;Лопатиха ;(лв);1;12;;10;9;;;
1465;Чернавка ;Чулым;»;1713;43;;5;5;;;
1466;Еловка (Безымянный);Чернавка;(пр);31;11;;25;29;;;
1467;Поперечка;»;»;29;14;;21;24;;;
1468;Черемшанка ;теряется;—;—;14;;7;12;;;
1469;Кызынджуль;Чулым;(лв);1704;45;;36;52;;;
1470;Беспрозванный;»;(пр);1643;18;;6;5;;;
1471;Тумна (Мал. Тумна);»;»;1623;26;;7;10;;;
1472;Жура;»;(лв);1620;75;538;20;60;;;
1473;Повалиха;Жура;»;60;13;;10;15;;;
1474;Балахта (Балахта 1-я);Чулым;(пр);1606;27;;8;25;;;
1475;Балахта 2-я (Балахта);Балахта (Балахта-1я);(лв);9;14;;1;2;;;
1476;Сыр;Чулым;(пр);1586;40;;39;94;;;
1477;Кондро (Кондра);Сыр;»;20;18;;32;39;;;
1478;Балдаштык;»;»;5;23;;5;12;;;
1479;Бобровка;Балдаштык;»;9;13;;9;14;;;
1480;без названия;Бобровка ;и;2;11;;9;15;;;
1481;без названия;Чулым;(пр);1574;11;;—;—;;;
1482;Сыр;»;»;1562;31;;36;85;;;
1483;без названия;Сыр ;(лв);5;12;;6;15;;;
1484;без названия;Чулым ;(пр);1554;13;;5;9;;;
1485;Тойлук;»;(лв);1548;46;;11;36;;;
1486;без названия;»;»;1543;13;;1;2;;;
1487;Кызылка (Кизилка);»;»;1535;26;;12;41;;;
1488;Кызыкчуль ;Кызылка (Кизилка);(пр);9;15;;2;4;;;
1489;Березовая (Березовка);Чулым;(лв);1528;11;;—;—;;;
1490;Березовая;»;(пр);1521;14;;—;—;;;
1491;Таможенка;»;»;1519;12;;10;17;;;
1492;Агата;»;(лв);1510;58;372;83;138;;;422
1493;Талая;Агата;(пр);13;20;;33;35;;;
1494;Поперечная Талая;Талая ;»;9;11;;4;4;;;
1495;Борсук;Чулым;»;1508;17;;14;16;;;
1496;Барсук;»;(лв);1504;18;;3;10;;;
